id,municipio,nombre,direccion,lunesViernes,horarioSabado,horarioDomingo ,picoyCedula,pcLunes,pcMartes,pcMiercoles,pcJueves,pcViernes,pcSabado,pcDomingo,domicilioDirecto,whatsappDomicilio,telefono
,ARMENIA,DEL NORTE,Carrera 14 No. 8N - 13 Av. Bolivar,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187119270,-,7458077
,ARMENIA,SAO PORTAL QUINDIO,Calle 19 Norte No. 13 - 9,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187119272,-,7495200- 7359393
,ARMENIA,EL BOSQUE,Calle 22 No. 22 - 65,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187119294,-,7386858
,ARMENIA,SAO ARMENIA SUR,Calle 30 No. 40 - 80,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3173709114,-,7313466
,MANIZALES,MANIZALES CENTRO,Carrera 21 No. 17 - 35,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,Si,8918575
,MANIZALES,MANIZALES,Carrera 23 No. 59 - 70 Local 13,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119900,No,8918575
,MANIZALES,AV SANTANDER,Calle 50 No. 23 - 1,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119582,Si,8918575
,VILLAMARIA,VILLA MARIA,Calle 8 No. 5 - 20,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3183727580,Si,8918575
,MANIZALES,LA COSECHA,Calle 24 No. 16 - 37,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 6:00 PM,,,,,,,,,-,No,8918575
,CHINCHINÁ,CHINCHINÁ,Calle10 No. 7 - 41,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3174291386,No,8918575
,MANIZALES,MANIZALES MALL PLAZA,Calle 56 Avenida Kevin Angel CC Mall Plaza,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3182740428,Si,8918575
,ITAGUI,ARRAYANES,Carrera 50A No. 36 - 90 L1,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM,8:00 AM A 6:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,-,No,6040525
,ITAGUI,ITAGUI N°2 Cr 54,Carrera. 54 No. 81 - 06,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 6:00 PM ,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,-,No,6040525
,RIONEGRO,RIONEGRO 2,Carrera 45 No. 52 - 27,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,6:00 AM A 4:00 PM  ,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,5615433-3155859872,No,6040525
,LA CEJA,LA CEJA,Calle 20 No. 21 - 46,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 7:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,5683749-3164680548,Si,6040525
,COPACABANA,COPACABANA,Carrera 52 No. 50 - 88,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 3:00 PM ,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,-,No,6040525
,MEDELLIN,SAN CRISTOBAL,Calle 63 No. 128 - 53,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,1,1-3-5-7-9,0-2-4-6-8,-,-,-,-,-,-,No,6040525
,BELLO,BELLO Cl 51,Calle 51 No. 47 - 26,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 6:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,-,3163748465,6040525
,MEDELLIN,LA FLORESTA,Carrera 87 No. 47D - 75,7:00 AM A 8:30 PM,7:00 AM A 8:30 PM,7:30 AM A 7:00 PM ,1,1-3-5-7-9,0-2-4-6-8,-,-,-,-,-,-,3164301430,6040525
,MEDELLIN,SAN LUCAS,Carrera 34 No. 16ASur - 241,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 7:00 PM  ,1,1-3-5-7-9,0-2-4-6-8,-,-,-,-,-,-,3187119853,6040525
,MEDELLIN,VILLANUEVA,Calle 57 No. 47 - 40,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 4:00 PM,1,1-3-5-7-9,0-2-4-6-8,-,-,-,-,-,-,3187119855,6040525
,MEDELLIN,LA MILAGROSA,Carrera 30 No. 41 - 35,6:30 AM A 9:00 PM,6:30 AM A 9:00 PM,7:30 AM A 8:00 PM ,1,1-3-5-7-9,0-2-4-6-8,-,-,-,-,-,-,3187119851,6040525
,MEDELLIN,COLOMBIA,Calle 50 No. 46 - 23,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM,7:45 AM A 4:00 PM ,1,1-3-5-7-9,0-2-4-6-8,-,-,-,-,-,-,3187119848,6040525
,ITAGUI,ITAGUI,Calle 33 No. 47 - 32,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:30 AM A 6:00 PM ,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,-,3187119811,6040525
,MEDELLIN,BELEN,Calle 30A No 75 - 17,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 7:00 PM ,1,1-3-5-7-9,0-2-4-6-8,-,-,-,-,-,-,-,6040525
,RIONEGRO,RIONEGRO,Carrera 47 No. 52 - 50,7:00 AM A 6:00 PM,7:00 AM A 6:00 PM,8:00 AM A 4:00 PM ,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,5611240-3187121917,-,6040525
,ENVIGADO,ENVIGADO,Carrera 40 No. 37 Sur - 30,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 6:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,-,-,6040525
,MEDELLIN,MANRIQUE,Carrera 45 No. 73 - 34,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 6:00 PM ,1,1-3-5-7-9,0-2-4-6-8,-,-,-,-,-,-,-,6040525
,QUIBDO,SAO QUIBDO,Calle 30 Av. Aeropuerto CC El Caraño,7:00 AM A 8:30 PM,7:00 AM A 8:30 PM,8:00 AM A 8:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,QUEDATE EN CASA,-,-,6040525
,CARTAGO,SANTIAGO PLAZA,Calle 14 No. 11 - 19,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187120979,-,3400363
,DOSQUEBRADAS,MONTEBONITO,Via Friales Urb Montebonito,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,-,3400363
,PEREIRA,GAMA,Calle 83 No. 19 - 24,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119896,-,3400363
,PEREIRA,PEREIRA,Avenida 30 de Agosto No. 36 - 10,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119879,-,3400363
,DOSQUEBRADAS,DOS QUEBRADAS,Carrera 16 No. 36 - 98 Dosquebrad,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,-,3400363
,SANTA ROSA DE CABAL,SANTA ROSA,Calle 15 No. 11 - 40,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,-,3400363
,LA VIRGINIA,VIRGINIA,Calle 8 No. 6 - 35,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,0363682077 - 3117017027,-,3400363
,PEREIRA,PLAZA DE LA LIBERTAD,Calle 14 No. 8 - 34,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,-,3400363
,PEREIRA,CUBA,Calle 70 bis No. 23 - 93,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,-,3400363
,PEREIRA,ALTAVISTA,Ciudadela Altavista,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,-,3400363
,CARTAGO,CARTAGO 3,Transversal 7 No. 14 - 135,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3182680450,-,3400363
,CARTAGO,CARTAGO 1,Calle 10 No. 6 - 85,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,3187119063,3400363
,CARTAGO,CARTAGO 2,Calle. 16  No. 4 - 06,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,3187119064,3400363
,LA UNIÓN,LA UNION,Calle 15 No. 13 - 35,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,PAR,IMPAR,PAR,IMPAR,PAR,PAR,IMPAR,3163748465,-,
,ROLDANILLO,ROLDANILLO,Calle 9 No. 6 - 35,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,PAR,IMPAR,PAR,IMPAR,PAR,PAR,IMPAR,3164301430,-,
,SEVILLA,SEVILLA,Carrera  50 No 49 - 47,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,PAR,IMPAR,PAR,IMPAR,PAR,PAR,IMPAR,2197045 EXT:100-3187119853,3187121466,
,ZARZAL,ZARZAL,Carrera 11 No. 9 - 30,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,PAR,IMPAR,PAR,IMPAR,PAR,PAR,IMPAR,2206723 EXT:100-3187119855,-,2206723
,QUIMBAYA,QUIMBAYA,Carrera  6 No. 15 - 26,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119851,-,
,MONTENEGRO,MONTENEGRO,Carrera 6 No. 17 - 30,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119848,-,
,CALARCA,CALARCA,Carrera 27 No. 37 - 20,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119811,-,
,CAICEDONIA,CAICEDONIA II,Calle 12 No. 15 - 17,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,PAR,IMPAR,PAR,IMPAR,PAR,PAR,IMPAR,3187119808,-,
,TUNJA,TUNJA,Av Norte No. 47A - 4,7:00 AM A 7:30 PM,7:00 AM A 7:30 PM,7:00 AM A 7:30 PM,1,"DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR",3187119334,-,-
,SOGAMOSO,SOGAMOSO,Carrera 13 No. 14 - 30-26 L101-2,8:30 AM A 9:00 PM,8:30 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR",3187119333,-,-
,CAJICÁ,CAJICÁ,Carrera 6E No. 252 km.3 Var.Cajicá,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3174029549-8837171,-,8837171
,BOGOTA,CASTELLANA,Calle 95 No. 47A - 09,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,CALLE 100,Calle 100 No. 30-74,6:00 AM A 9:30 PM,6:00 AM A 9:30 PM,6:00 AM A 9:30 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,VILLA MAGDALA,Calle 153 No. 40 - 77,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,SANTA ANA,Carrera 7 No. 108 - 44,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,CONTADOR,Av 19 No. 137 - 38,6:00 AM A 9:30 PM,6:00 AM A 9:30 PM,6:00 AM A 9:30 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,CHICO I,Calle 97 No. 10 - 45,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,CHIA,PLAZA MAYOR CHIA,Av Pradilla No. 5 - 31Este Chia,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",,3187119141-3102213943,-,6064000
,BOGOTA,COLINA CAMPESTRE,Calle 138 No. 52 - 03,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,CHIA,AUTOPISTA NORTE,Autopista Norte Km 21 Via Chia,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM,7:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",,3142022490-3187118976,-,6064000
,BOGOTA,CALLE 170,Carrera 55 No.169A - 55,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,MAZUREN,Transversal 40 No. 150 - 46,6:30 AM A 9:30 PM,6:30 AM A 9:30 PM,6:30 AM A 9:30 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,ISERRA,Carrera 38 No. 97 - 76,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,HACIENDA SANTA BARBARA,Calle 114 No. 6A - 92 HdaStaBar,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,CEDRITOS,Calle 140 No. 23 - 61,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,PLAZA 147,Avenida Carrera 15 No. 146 - 50 L10,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,LISBOA,Calle 134 No. 13 - 83 Loc14,9:00 AM A 6:00 PM,9:00 AM A 6:00 PM,8:00 AM A 3:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,PALATINO,Carrera 7A No. 139-04 L501,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
